off	sire	dam	sexe
IF2011009010	98394	IF2011001122	F
IF2011009012	102209	IF2011001079	U
IF2011009022	193778	IF2011001079	M
IF2011009026	98577	IF2011001499	F
IF2011009029	204387	IF2011001056	M
IF2011009031	*1	IF2011001122	F
IF2011009035	5201254	IF2011001496	F
IF2011009047	5130071	IF2011001058	M
IF2011009048	5130071	IF2011001122	M
IF2011009049	102209	IF2011001190	F
IF2011009051	SEM4	IF2011001249	F
IF2011009053	761952	IF2011001072	F
IF2011009054	204910	IF2011001006	F
IF2011009055	*2	IF2011001179	M
IF2011009057	5130071	IF2011001072	M
IF2011009058	204387	IF2011001058	F
IF2011009059	5196474	IF2011001006	M
IF2011009062	204910	IF2011001058	F
IF2011009064	204395	IF2011001079	M
IF2011009067	185618	IF2011001435	M
IF2011009073	5204006	IF2011001006	M
IF2011009075	204910	IF2011001190	M
IF2011009076	98577	IF2011001045	M
IF2011009081	18432	IF2011001413	M
IF2011009082	5203735	IF2011001113	F
IF2011009087	193778	IF2011001496	F
IF2011009090	98394	IF2011001058	F
IF2011009095	115872	IF2011001056	M
IF2011009097	*1	IF2011001079	M
IF2011009103	102209	IF2011001413	F
IF2011009104	198047	IF2011001079	F
IF2011009110	761952	IF2011001056	U
IF2011009114	98394	IF2011001190	U
IF2011009117	5189124	IF2011001304	U
IF2011009119	853760	IF2011001056	M
IF2011009124	115872	IF2011001493	M
IF2011009125	5204006	IF2011001058	M
IF2011009131	*1	IF2011001499	F
IF2011009136	454528	IF2011001413	U
IF2011009138	204387	IF2011001079	U
IF2011009140	98577	IF2011001076	M
IF2011009146	115872	IF2011001058	M
IF2011009148	645312	IF2011001413	F
IF2011009149	77028	IF2011001496	F
IF2011009152	454528	IF2011001079	F
IF2011009153	5204006	IF2011001045	U
IF2011009154	*1	IF2011001122	M
IF2011009160	5130071	IF2011001122	M
IF2011009166	193778	IF2011001496	M
IF2011009169	5187073	IF2011001190	F
IF2011009172	193778	IF2011001190	M
IF2011009174	102209	IF2011001045	M
IF2011009180	204910	IF2011001058	M
IF2011009183	454528	IF2011001122	M
IF2011009187	204910	IF2011001122	F
IF2011009188	5130071	IF2011001499	F
IF2011009189	115872	IF2011001045	M
IF2011009193	204910	IF2011001493	M
IF2011009206	761952	IF2011001493	M
IF2011009211	5130071	IF2011001122	M
IF2011009224	5130071	IF2011001435	M
IF2011009232	*1	IF2011001122	M
IF2011009238	*1	IF2011001413	M
IF2011009261	102209	IF2011001190	F
IF2011009277	5187073	IF2011001072	M
IF2011009282	*1	IF2011001122	F
IF2011009289	5203735	IF2011001045	F
IF2011009296	454528	IF2011001122	U
IF2011009304	204395	IF2011001087	U
IF2011009311	98577	IF2011001056	F
IF2011009354	102209	IF2011001122	F
IF2011009360	5196474	IF2011001079	F
IF2011009365	104242	IF2011001413	F
IF2011009460	204395	IF2011001190	F
IF2011009497	*1	IF2011001058	M
IF2014007501	206473	IF2011001092	M
IF2014007502	205882	IF2011001070	M
IF2014007503	206333	IF2011001070	F
IF2014007504	208678	IF2011001061	M
IF2014007505	95165	IF2011001092	M
IF2014007506	205638	IF2011001095	F
IF2014007507	*3	IF2011001092	M
IF2014007508	*3	IF2011001092	M
IF2014007509	205882	IF2011001092	M
IF2014007510	110855	IF2011001061	M
IF2014007511	*3	IF2011001095	M
IF2014007512	209360	IF2011001095	F
IF2014007513	96021	IF2011001092	U
IF2014007514	205057	IF2011001070	M
IF2014007516	75653	IF2011001109	F
IF2014007517	205638	IF2011001095	F
IF2014007518	*3	IF2011001084	M
IF2014007519	96021	IF2011001109	M
IF2014007520	205882	IF2011001095	F
IF2014007521	74139	IF2011001084	F
IF2014007522	208678	IF2011001095	M
IF2014007523	205882	IF2011001095	M
IF2014007524	211267	IF2011001092	M
IF2014007525	95165	IF2011001084	M
IF2014007526	208678	IF2011001092	M
IF2014007527	*3	IF2011001070	M
IF2014007528	95003	IF2011001070	F
IF2014007530	208678	IF2011001070	F
IF2014007531	205882	IF2011001109	M
IF2014007532	101770	IF2011001095	U
IF2014007533	208678	IF2011001099	F
IF2014007534	206248	IF2011001095	U
IF2014007537	204896	IF2011001061	M
IF2014007539	205057	IF2011001109	F
IF2014007541	75653	IF2011001308	F
IF2014007542	205882	IF2011001084	F
IF2014007543	211267	IF2011001070	M
IF2014007544	95165	IF2011001099	M
IF2014007545	74139	IF2011001070	F
IF2014007546	205882	IF2011001308	M
IF2014007547	74139	IF2011001084	M
IF2014007548	95165	IF2011001099	M
IF2014007549	*3	IF2011001095	F
IF2014007550	206248	IF2011001070	F
IF2014007553	204565	IF2011001109	F
IF2014007554	206125	IF2011001109	M
IF2014007556	74139	IF2011001095	F
IF2014007557	*3	IF2011001109	M
IF2014007559	95165	IF2011001092	M
IF2014007560	207485	IF2011001084	M
IF2014007562	204896	IF2011001092	U
IF2014007563	101770	IF2011001109	F
IF2014007564	95003	IF2011001092	F
IF2014007565	207485	IF2011001095	U
IF2014007566	100849	IF2011001095	F
IF2014007567	206473	IF2011001070	F
IF2014007568	103278	IF2011001109	F
IF2014007569	100849	IF2011001061	F
IF2014007570	100849	IF2011001092	F
IF2014007572	205057	IF2011001109	M
IF2014007573	207485	IF2011001092	F
