tag	CODE	test	SOUCHE	EFFET_BASSIN_LARVAIRE	EFFET_PERIODE_D3	EFFET_PERIODE_D6	EFFET_PERIODE_B3	poids_vif	SEXE	Poids_Tete	relPoidTete	Poids_Carcasse	Poids_Filet	Poids_Gonades	rel_poids_gonades	Poids_Viscères	Poids_Foie	rel_poids_Foie	poids_branchie	relpoidbranchie	somme_de_parties	fat	% diff	relfat
9.78E+14	IF2014009261	1	EST	EST 3	3	4	3	765	2	176.8	0.231111111	300.4	216.5	5	0.006535948	42.7	9.2	0.052036199	26.391	0.034498039	750.6	1.7	1.88%	0.002222222
9.68E+14	IF2011009082	1	WEM	WEM 3	3	4	3	559.3	2	117.5	0.210084034	223.8	160.3	3	0.005363848	32.3	8.2	0.069787234	16.533	0.029560164	545.1	1.4	2.54%	0.002503129
9.55E+14	IF2014009234	1	EST	EST 3	3	6	3	603.3	1	133.1	0.220619924	228.5	158.7	0	0	58.8	12.7	0.09541698	19.14	0.03172551	591.8	2.6	1.91%	0.00430963
9.55E+14	IF2014007518	1	ATL	ATL 2	3	4	3	512.3	1	102	0.199102089	206.4	150.1	0	0	42.3	5.3	0.051960784	16.267	0.031752879	506.1	6.6	1.21%	0.012883076
9.68E+14	IF2014008457	1	EST	EST 1	3	4	3	579.5	2	135.3	0.233477135	227.9	163.6	3.8	0.006557377	30.3	9.3	0.068736142	17.654	0.030464193	570.2	1.6	1.60%	0.002761001
9.55E+14	IF2014009072	1	WEM	WEM 1	3	6	3	694.2	2	136.3	0.196341112	272.1	198.8	3.6	0.005185825	62.5	9.2	0.067498166	19.859	0.02860703	682.5	3.5	1.69%	0.005041775
9.68E+14	IF2014007850	1	ATL	ATL 2	3	4	3	382.5	1	83.3	0.217777778	140.7	109.4	0	0	36.6	5.1	0.06122449	10.835	0.028326797	375.1	4.2	1.93%	0.010980392
9.78E+14	IF2014008543	1	WEM	WEM 2	3	4	3	664.7	2	136	0.204603581	265.8	193.2	3.7	0.005566421	41.1	9.5	0.069852941	18.196	0.027374756	649.3	2.8	2.32%	0.004212427
9.55E+14	IF2014007649	1	ATL	ATL 2	3	4	3	685.4	2	140.1	0.204406186	268.4	186.6	4.3	0.006273709	68.7	8.1	0.057815846	17.562	0.025622994	676.2	9.4	1.34%	0.013714619
9.55E+14	IF2014008448	1	ATL	ATL 3	3	4	3	770.2	1	134.3	0.174370293	292.2	215.3	0	0	105.6	14	0.104244229	16.659	0.021629447	761.4	10.1	1.14%	0.013113477
9.78E+14	IF2014008621	1	WEM	WEM 2	3	4	3	374.8	1	84.1	0.224386339	155.2	109.2	0	0	16.4	4.2	0.049940547	9.887	0.026379402	369.1	2.7	1.52%	0.007203842
9.68E+14	IF2011009365	1	WEM	WEM 3	3	6	3	498.4	2	110.4	0.221508828	207.9	141.7	2.6	0.005216693	25.7	3.6	0.032608696	14.449	0.02899077	491.9	3	1.30%	0.006019262
9.78E+14	IF2014008721	1	WEM	WEM 2	3	6	3	320.2	1	68.3	0.213304185	131.7	92.6	0	0	19.9	3.9	0.057101025	10.417	0.032532792	316.4	2.2	1.19%	0.006870706
9.68E+14	IF2014009175	1	EST	EST 3	3	4	3	588	1	124.8	0.212244898	241.4	165.1	0.3	0.000510204	39.5	8.6	0.068910256	15.592	0.026517007	579.7	2.9	1.41%	0.004931973
9.68E+14	IF2014009416	1	EST	EST 2	3	6	3	724	1	147.2	0.203314917	289.2	199.6	0	0	59.7	18.8	0.127717391	18.029	0.024901934	714.5	2.8	1.31%	0.003867403
9.55E+14	IF2014008337	1	ATL	ATL 3	3	4	3	605.2	1	121.8	0.201255783	246.5	174.2	0	0	46.4	9.2	0.075533662	16.268	0.02688037	598.1	4.6	1.17%	0.007600793
9.55E+14	IF2014009290	1	EST	EST 3	3	6	3	590.8	2	148.8	0.251861882	243.5	167.9	3.5	0.005924171	14.1	5.3	0.03561828	20.458	0.034627624	583.1	1.1	1.30%	0.001861882
9.78E+14	IF2014008607	1	WEM	WEM 3	3	4	3	666.1	2	152.3	0.228644348	277.8	182.8	4	0.006005104	28.7	7.9	0.051871307	20.361	0.030567482	653.5	2.3	1.89%	0.003452935
9.55E+14	IF2014007791	1	ATL	ATL 1	3	6	3	656.1	1	134	0.204237159	251.8	181.2	0	0	74.2	8.1	0.060447761	17.47	0.026627039	649.3	10	1.04%	0.015241579
9.78E+14	IF2014008811	1	WEM	WEM 1	3	4	3	478.2	1	109.2	0.228356336	200.3	134.8	0	0	21.9	4.9	0.044871795	15.068	0.031509829	471.1	2.5	1.48%	0.005227938
9.55E+14	IF2014008305	1	ATL	ATL 3	3	4	3	493.9	2	103.3	0.20915165	199.2	135.4	2.5	0.005061753	39.4	7.3	0.070667957	13.63	0.027596679	487.1	6.1	1.38%	0.012350678
9.68E+14	IF2014009086	1	EST	EST 3	3	4	3	587.4	2	140.1	0.238508682	234.6	165	3.4	0.005788219	29	5.8	0.041399001	18.411	0.031343207	577.9	2.3	1.62%	0.00391556
9.68E+14	IF2014008355	1	EST	EST 1	3	6	3	701.6	2	166.6	0.237457241	266.4	164.5	4.1	0.005843786	78.5	13.8	0.082833133	23.522	0.033526226	693.9	3.2	1.10%	0.004561003
9.68E+14	IF2014008250	1	ATL	ATL 3	3	4	3	490.7	2	96.9	0.197472998	180.9	123	2.6	0.005298553	68.9	8.2	0.084623323	12.83	0.026146322	480.5	6.4	2.08%	0.013042592
9.55E+14	IF2014007840	1	ATL	ATL 2	3	6	3	187.6	2	46.1	0.245735608	75.3	49.3	1.1	0.005863539	10.9	1.8	0.039045553	6.56	0.034968017	184.5	2.8	1.65%	0.014925373
9.55E+14	IF2014009172	1	EST	EST 3	3	4	3	693.3	2	152.5	0.219962498	276.1	190.1	4.1	0.005913746	52.9	7.7	0.050491803	23.927	0.034511755	683.4	2.2	1.43%	0.003173229
9.78E+14	IF2014008583	1	WEM	WEM 3	3	6	3	558.4	2	103.3	0.184992837	230.7	158.6	3.2	0.005730659	46.2	11	0.106485963	13.637	0.024421562	553	5.2	0.97%	0.009312321
9.68E+14	IF2014008684	1	WEM	WEM 2	3	4	3	421.1	1	97	0.230349086	164.5	120.2	0.1	0.000237473	29.3	4.9	0.050515464	11.693	0.027767751	416	3.2	1.21%	0.007599145
9.68E+14	IF2014008855	1	WEM	WEM 2	3	4	3	375.5	1	76.9	0.204793609	152.1	108	0	0	26.8	4.8	0.062418726	10.079	0.026841545	368.6	2.8	1.84%	0.007456724
9.55E+14	IF2014007751	1	ATL	ATL 3	3	4	3	719	2	137.2	0.190820584	287.2	209.5	4	0.005563282	58.6	11.6	0.084548105	19.999	0.027815021	708.1	6.3	1.52%	0.00876217
9.68E+14	IF2014008665	1	WEM	WEM 2	3	6	3	351.9	2	74.9	0.212844558	145.8	98.2	2	0.005683433	21.3	3.5	0.046728972	10.414	0.029593635	345.7	2.7	1.76%	0.007672634
9.55E+14	IF2014008177	1	ATL	ATL 3	3	6	3	472.7	2	84.1	0.17791411	184.3	128.7	2.9	0.006134969	61.9	7.2	0.085612366	12.06	0.02551301	469.1	10.6	0.76%	0.022424371
9.68E+14	IF2014008279	1	EST	EST 1	3	4	3	628.3	2	126.7	0.20165526	254.4	181.2	2.9	0.004615629	43.9	10.4	0.082083662	16.463	0.026202451	619.5	1.6	1.40%	0.002546554
