CODE	ATL
IF2011009010	0.271818042706552
IF2011009022	0.26651248944726
IF2011009026	0.187869070336469
IF2011009029	0.253314385611765
IF2011009031	0.248147422711357
IF2011009035	0.248612204248584
IF2011009047	0.265566943826595
IF2011009048	0.258548268921628
IF2011009049	0.245781618328667
IF2011009051	0
IF2011009053	0.289391831656549
IF2011009054	0.236984617497147
IF2011009055	0
IF2011009057	0.251481637749839
IF2011009058	0.263450814217574
IF2011009059	0.264680958315942
IF2011009062	0.249182594155949
IF2011009064	0.248032177744027
IF2011009067	0.225302164284356
IF2011009073	0.262858129766202
IF2011009075	0.24670672706674
IF2011009076	0.187049043068594
IF2011009081	0.254109289758159
IF2011009082	0.278800183421646
IF2011009087	0.251568172770776
IF2011009090	0.269720549737941
IF2011009095	0.273187664069623
IF2011009097	0.253694391858644
IF2011009103	0.26062531910477
IF2011009104	0.273941297462816
IF2011009119	0.269927581123891
IF2011009124	0.264443199102357
IF2011009125	0.249889174876192
IF2011009131	0.249427424774745
IF2011009140	0.21803032772247
IF2011009146	0.268217315696455
IF2011009148	0.269290424374212
IF2011009149	0.303513774635084
IF2011009152	0.25774789233075
IF2011009154	0.271563179113556
IF2011009160	0.248246984167891
IF2011009166	0.24488794194394
IF2011009169	0.273515566662382
IF2011009172	0.239675653528578
IF2011009174	0.252853845827238
IF2011009180	0.235248191331266
IF2011009183	0.274967634913148
IF2011009187	0.239927912952591
IF2011009188	0.260986658768102
IF2011009189	0.246744936307146
IF2011009193	0.250273127114077
IF2011009206	0.265451101377966
IF2011009211	0.262343965838729
IF2011009224	0.261518193932939
IF2011009232	0.250914908857717
IF2011009238	0.238390360684756
IF2011009261	0.266314121257635
IF2011009277	0.291993530067211
IF2011009282	0.243545002661051
IF2011009289	0.243929268078762
IF2011009311	0.231020977539437
IF2011009354	0.254822023286887
IF2011009360	0.244884024960756
IF2011009365	0.242562529184911
IF2011009460	0.247868698032887
IF2011009497	0.250121827925606
IF2014007501	1
IF2014007502	1
IF2014007503	0.990926163337239
IF2014007504	1
IF2014007505	0.981051268986264
IF2014007506	1
IF2014007507	0.989209668976432
IF2014007508	0.987163475523273
IF2014007509	1
IF2014007510	1
IF2014007511	0.994878038286322
IF2014007512	1
IF2014007514	1
IF2014007516	1
IF2014007517	1
IF2014007518	0.993884343269389
IF2014007519	0.988294846958487
IF2014007520	1
IF2014007521	1
IF2014007522	1
IF2014007523	1
IF2014007524	1
IF2014007525	0.983361632374159
IF2014007526	1
IF2014007527	0.994659225744291
IF2014007528	0.992534688120816
IF2014007530	1
IF2014007531	1
IF2014007532	0.972051081412295
IF2014007533	1
IF2014007537	1
IF2014007539	1
IF2014007541	1
IF2014007542	1
IF2014007543	1
IF2014007544	0.989340909890602
IF2014007545	1
IF2014007546	1
IF2014007547	1
IF2014007548	0.985730329713361
IF2014007549	0.99198770553857
IF2014007550	1
IF2014007553	1
IF2014007554	0.979285736358115
IF2014007556	1
IF2014007557	0.992061112741965
IF2014007559	0.980878326996615
IF2014007560	1
IF2014007563	0.989049090534307
IF2014007564	0.98559903439937
IF2014007566	1
IF2014007567	1
IF2014007568	1
IF2014007569	1
IF2014007570	1
IF2014007572	1
IF2014007573	1
IF2014007574	1
IF2014007575	1
IF2014007579	0.989616719918501
IF2014007580	1
IF2014007581	0.992100012670245
IF2014007582	0.991427459824024
IF2014007583	1
IF2014007585	1
IF2014007586	1
IF2014007587	1
IF2014007588	1
IF2014007589	1
IF2014007591	1
IF2014007592	0.972221229121559
IF2014007593	1
IF2014007594	1
IF2014007596	0.98454656446244
IF2014007597	1
IF2014007598	1
IF2014007600	1
IF2014007601	1
IF2014007602	1
IF2014007603	0.985698681484122
IF2014007604	0.973854006638843
IF2014007605	1
IF2014007606	1
IF2014007608	1
IF2014007610	1
IF2014007612	1
IF2014007613	1
IF2014007615	0.989848774811535
IF2014007617	1
IF2014007620	1
IF2014007621	1
IF2014007623	1
IF2014007626	0.989794277850617
IF2014007627	0.987244914590975
IF2014007630	1
IF2014007631	1
IF2014007632	1
IF2014007636	1
IF2014007637	1
IF2014007638	1
IF2014007639	1
IF2014007642	1
IF2014007644	1
IF2014007645	1
IF2014007646	1
IF2014007649	1
IF2014007653	0.976029807843021
IF2014007658	1
IF2014007660	1
IF2014007664	0.991799145922053
IF2014007665	1
IF2014007666	1
IF2014007668	1
IF2014007672	1
IF2014007673	1
IF2014007675	1
IF2014007676	1
IF2014007678	0.98576865428095
IF2014007681	1
IF2014007682	1
IF2014007684	1
IF2014007687	1
IF2014007688	1
IF2014007689	1
IF2014007693	1
IF2014007695	1
IF2014007697	1
IF2014007700	0.976285976121671
IF2014007701	0.978339103072829
IF2014007702	0.988376714774961
IF2014007703	0.990210965736529
IF2014007704	1
IF2014007709	1
IF2014007711	1
IF2014007712	1
IF2014007715	1
IF2014007716	1
IF2014007717	1
IF2014007720	1
IF2014007721	1
IF2014007723	1
IF2014007726	0.988192081456694
IF2014007728	1
IF2014007731	1
IF2014007732	1
IF2014007734	1
IF2014007735	1
IF2014007736	1
IF2014007737	1
IF2014007739	0.97444342501145
IF2014007740	0.989319334200323
IF2014007741	1
IF2014007743	1
IF2014007744	0.982854470536779
IF2014007745	0.97997781758754
IF2014007750	1
IF2014007751	1
IF2014007752	1
IF2014007755	0.986201418363381
IF2014007757	0.986905628420069
IF2014007759	0.987126051225319
IF2014007760	1
IF2014007761	0.981760567780387
IF2014007762	1
IF2014007763	0.976283248004405
IF2014007767	0.994076915771599
IF2014007772	1
IF2014007774	0.990363994027561
IF2014007785	1
IF2014007786	0.993607983377951
IF2014007790	1
IF2014007791	1
IF2014007793	1
IF2014007794	1
IF2014007802	1
IF2014007805	1
IF2014007808	1
IF2014007809	1
IF2014007811	1
IF2014007818	1
IF2014007823	1
IF2014007824	0.972461102561198
IF2014007825	1
IF2014007826	1
IF2014007828	0.989753416221239
IF2014007829	0.982107012751206
IF2014007830	1
IF2014007833	1
IF2014007839	1
IF2014007840	0.989579789914372
IF2014007841	0.988061370084247
IF2014007843	1
IF2014007846	1
IF2014007847	1
IF2014007850	1
IF2014007854	1
IF2014007855	1
IF2014007857	1
IF2014007859	1
IF2014007860	1
IF2014007862	1
IF2014007864	1
IF2014007867	1
IF2014007869	1
IF2014007870	1
IF2014007871	1
IF2014007872	1
IF2014007873	1
IF2014007874	1
IF2014007883	0.985352486050707
IF2014007887	1
IF2014007888	0.988464721619399
IF2014007890	1
IF2014007896	1
IF2014007897	1
IF2014007913	1
IF2014007919	1
IF2014007923	1
IF2014007925	1
IF2014007950	1
IF2014007954	1
IF2014007957	1
IF2014007958	1
IF2014007959	1
IF2014007961	1
IF2014007966	1
IF2014007968	1
IF2014007971	0.992330800172132
IF2014007974	0.983196731919476
IF2014007975	1
IF2014007980	1
IF2014007981	1
IF2014007982	1
IF2014007985	1
IF2014007987	1
IF2014007988	1
IF2014007990	1
IF2014007998	1
IF2014008002	1
IF2014008005	1
IF2014008010	0.0577914347934232
IF2014008013	0.102246069659494
IF2014008014	0.000895208004212744
IF2014008015	0.0490562081515203
IF2014008017	0.10114704442979
IF2014008018	0
IF2014008021	0
IF2014008022	0
IF2014008024	0.00126283367556468
IF2014008025	0
IF2014008028	0
IF2014008030	0
IF2014008031	0
IF2014008032	0.0263256828123252
IF2014008035	0
IF2014008037	0
IF2014008038	0.103912473355772
IF2014008039	0
IF2014008040	0
IF2014008041	0
IF2014008043	0
IF2014008046	0.0333652992216046
IF2014008051	0
IF2014008053	0
IF2014008055	0
IF2014008056	0
IF2014008058	0
IF2014008062	0
IF2014008063	0
IF2014008066	0
IF2014008067	0
IF2014008068	0.0887712932997062
IF2014008069	0.0423736058720817
IF2014008074	0
IF2014008075	0
IF2014008076	0
IF2014008077	0
IF2014008078	0
IF2014008079	0
IF2014008083	0
IF2014008085	0.0352773928599496
IF2014008088	0
IF2014008089	0
IF2014008092	0
IF2014008093	0
IF2014008096	0
IF2014008098	0.0341724355602376
IF2014008100	0.0980262631996065
IF2014008101	0.105544421292586
IF2014008102	0.107272423838646
IF2014008104	0.101616869655559
IF2014008107	0
IF2014008109	0
IF2014008110	0
IF2014008111	0.10644804688841
IF2014008112	0
IF2014008113	0
IF2014008114	0
IF2014008115	0
IF2014008120	0
IF2014008124	0.0412386727735162
IF2014008125	0.11043891768731
IF2014008127	0
IF2014008136	0.0284872408184436
IF2014008137	0
IF2014008140	0.034157911226173
IF2014008141	0
IF2014008142	0
IF2014008144	0
IF2014008146	0
IF2014008148	0
IF2014008150	0
IF2014008154	0
IF2014008155	0
IF2014008156	0.0553465833629411
IF2014008157	0
IF2014008159	0
IF2014008160	0
IF2014008162	1
IF2014008165	0
IF2014008166	0.095459820809156
IF2014008167	0.039279803675832
IF2014008168	1
IF2014008170	0.972355024331575
IF2014008174	1
IF2014008176	0
IF2014008177	1
IF2014008180	0.00490356456991802
IF2014008181	0.00825872963825934
IF2014008182	0
IF2014008184	0
IF2014008186	0
IF2014008188	0
IF2014008192	1
IF2014008193	1
IF2014008194	0
IF2014008195	0
IF2014008197	0.984637856664717
IF2014008203	1
IF2014008204	0
IF2014008207	0.00290162710426034
IF2014008208	0
IF2014008210	0
IF2014008213	0
IF2014008215	0
IF2014008216	0.00190735694822888
IF2014008217	0
IF2014008218	0
IF2014008221	0
IF2014008223	0
IF2014008224	1
IF2014008225	0.0505354237279076
IF2014008226	0
IF2014008231	0
IF2014008233	0.0578212497142867
IF2014008234	0
IF2014008235	1
IF2014008238	1
IF2014008240	0
IF2014008241	0.986269019019918
IF2014008243	0
IF2014008246	0
IF2014008247	0.981391853527025
IF2014008248	0
IF2014008249	0.985514255145606
IF2014008250	1
IF2014008251	0
IF2014008252	1
IF2014008253	0
IF2014008255	0.0401342593143752
IF2014008256	1
IF2014008258	0
IF2014008259	1
IF2014008260	1
IF2014008261	0
IF2014008271	0.985667735212197
IF2014008272	0
IF2014008274	1
IF2014008275	0
IF2014008276	0.99389890760298
IF2014008277	1
IF2014008278	1
IF2014008279	0.109976880274735
IF2014008281	1
IF2014008282	1
IF2014008283	1
IF2014008285	0.980760789298213
IF2014008288	0.046352923497337
IF2014008290	1
IF2014008291	0
IF2014008292	1
IF2014008293	0.993895813194492
IF2014008295	0.00309664030051391
IF2014008297	0
IF2014008300	0.9830740142796
IF2014008301	1
IF2014008303	1
IF2014008304	0.979300314370038
IF2014008305	0.991519186378949
IF2014008309	1
IF2014008310	0
IF2014008313	1
IF2014008315	0.991300245397505
IF2014008316	1
IF2014008318	1
IF2014008319	1
IF2014008320	0.996349390015224
IF2014008322	0.988522026125019
IF2014008323	1
IF2014008325	1
IF2014008326	0
IF2014008331	1
IF2014008332	1
IF2014008334	1
IF2014008335	1
IF2014008336	1
IF2014008337	0.988200553188048
IF2014008339	0
IF2014008340	0
IF2014008341	0
IF2014008346	0
IF2014008349	0.987203119570877
IF2014008352	1
IF2014008353	1
IF2014008355	0
IF2014008356	0.974547328365961
IF2014008358	1
IF2014008359	0.980719601021418
IF2014008360	0.0425738556484105
IF2014008361	1
IF2014008362	0.0404424101606911
IF2014008363	1
IF2014008365	1
IF2014008366	1
IF2014008367	0.979231194182617
IF2014008369	0
IF2014008370	0
IF2014008373	1
IF2014008375	1
IF2014008376	1
IF2014008378	1
IF2014008381	0
IF2014008382	1
IF2014008385	1
IF2014008386	0.991413107577483
IF2014008389	1
IF2014008390	0.988496597348035
IF2014008391	0.0249710803870129
IF2014008392	1
IF2014008393	0.109293216669438
IF2014008394	0.987646291038192
IF2014008395	0
IF2014008396	1
IF2014008397	1
IF2014008399	1
IF2014008400	0
IF2014008401	0
IF2014008402	1
IF2014008403	0.0371716595520133
IF2014008404	0
IF2014008407	1
IF2014008408	1
IF2014008411	0
IF2014008414	0.991707297973908
IF2014008416	1
IF2014008418	0
IF2014008419	0.982504974735309
IF2014008421	0
IF2014008425	1
IF2014008426	1
IF2014008428	1
IF2014008429	1
IF2014008430	0
IF2014008432	1
IF2014008433	1
IF2014008434	0.111343183311822
IF2014008435	0.969586322391196
IF2014008436	1
IF2014008437	1
IF2014008438	1
IF2014008439	1
IF2014008441	1
IF2014008442	0.980590226518639
IF2014008443	0
IF2014008445	1
IF2014008446	0
IF2014008447	1
IF2014008448	1
IF2014008449	0.983751103564418
IF2014008452	1
IF2014008453	0
IF2014008454	1
IF2014008455	1
IF2014008456	0
IF2014008457	0
IF2014008458	1
IF2014008459	1
IF2014008460	1
IF2014008461	0.0981500388814261
IF2014008462	0
IF2014008463	0
IF2014008465	0.983635557993391
IF2014008466	1
IF2014008468	0
IF2014008469	1
IF2014008470	1
IF2014008471	1
IF2014008472	0.9866909847339
IF2014008473	1
IF2014008475	0
IF2014008476	0
IF2014008478	1
IF2014008479	1
IF2014008481	1
IF2014008483	1
IF2014008484	0
IF2014008486	1
IF2014008487	1
IF2014008488	1
IF2014008489	1
